Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2""","=""1S""","=""0""","="" 0.000000""","=""0.000012""","=""L3462"""
"=""1s.2s""","=""3S""","=""1""","="" 59.020815""","=""0.000012""","="""""
"=""1s.2s""","=""1S""","=""0""","="" 60.92269""","=""0.00012""","="""""
"=""1s.2p""","=""3P*""","=""1""","="" 61.280575""","=""0.000012""","="""""
"=""1s.2p""","=""3P*""","=""2""","="" 61.280856""","=""0.000012""","="""""
"=""1s.2p""","=""3P*""","=""0""","="" 61.281244""","=""0.000012""","="""""
"=""1s.2p""","=""1P*""","=""1""","="" 62.216336""","=""0.000012""","="""""
"=""1s.3s""","=""3S""","=""1""","="" 68.780786""","=""0.000012""","="""""
"=""1s.3s""","=""1S""","=""0""","="" 69.279628""","=""0.000012""","="""""
"=""1s.3p""","=""3P*""","=""1""","="" 69.369202""","=""0.000012""","="""""
"=""1s.3p""","=""3P*""","=""2""","="" 69.369335""","=""0.000012""","="""""
"=""1s.3p""","=""3P*""","=""0""","="" 69.369447""","=""0.000012""","="""""
"=""1s.3d""","=""3D""","=""2""","="" 69.585282""","=""0.000012""","="""""
"=""1s.3d""","=""3D""","=""3""","="" 69.585359""","=""0.000012""","="""""
"=""1s.3d""","=""3D""","=""1""","="" 69.585425""","=""0.000012""","="""""
"=""1s.3d""","=""1D""","=""2""","="" 69.589060""","=""0.000012""","="""""
"=""1s.3p""","=""1P*""","=""1""","="" 69.648473""","=""0.000012""","="""""
"=""1s.4s""","=""3S""","=""1""","="" 71.908520""","=""0.000012""","="""""
"=""1s.4s""","=""1S""","=""0""","="" 72.108809""","=""0.000012""","="""""
"=""1s.4p""","=""3P*""","=""0""","="" 72.144617""","=""0.000012""","="""""
"=""1s.4p""","=""3P*""","=""1""","="" 72.144667""","=""0.000012""","="""""
"=""1s.4p""","=""3P*""","=""2""","="" 72.144756""","=""0.000012""","="""""
"=""1s.4d""","=""3D""","=""1""","="" 72.234808""","=""0.000012""","="""""
"=""1s.4d""","=""3D""","=""2""","="" 72.234857""","=""0.000012""","="""""
"=""1s.4d""","=""3D""","=""3""","="" 72.234938""","=""0.000012""","="""""
"=""1s.4d""","=""1D""","=""2""","="" 72.237031""","=""0.000012""","="""""
"=""1s.4f""","=""3F*""","=""2""","="" 72.238522""","=""0.000012""","="""""
"=""1s.4f""","=""3F*""","=""4""","="" 72.238522""","=""0.000012""","="""""
"=""1s.4f""","=""3F*""","=""3""","="" 72.238522""","=""0.000012""","="""""
"=""1s.4f""","=""1F*""","=""3""","="" 72.238654""","=""0.000012""","="""""
"=""1s.4p""","=""1P*""","=""1""","="" 72.261724""","=""0.000012""","="""""
"=""1s.5s""","=""3S""","=""1""","="" 73.297507""","=""0.000012""","="""""
"=""1s.5s""","=""1S""","=""0""","="" 73.397350""","=""0.000012""","="""""
"=""1s.5p""","=""3P*""","=""0""","="" 73.415216""","=""0.000012""","="""""
"=""1s.5p""","=""3P*""","=""1""","="" 73.415263""","=""0.000012""","="""""
"=""1s.5p""","=""3P*""","=""2""","="" 73.415346""","=""0.000012""","="""""
"=""1s.5d""","=""3D""","=""1""","="" 73.461096""","=""0.000012""","="""""
"=""1s.5d""","=""3D""","=""2""","="" 73.461145""","=""0.000012""","="""""
"=""1s.5d""","=""3D""","=""3""","="" 73.461226""","=""0.000012""","="""""
"=""1s.5d""","=""1D""","=""2""","="" 73.462427""","=""0.000012""","="""""
"=""1s.5f""","=""3F*""","=""4""","="" 73.463131""","=""0.000012""","="""""
"=""1s.5f""","=""3F*""","=""3""","="" 73.463131""","=""0.000012""","="""""
"=""1s.5f""","=""3F*""","=""2""","="" 73.463131""","=""0.000012""","="""""
"=""1s.5f""","=""1F*""","=""3""","="" 73.463255""","=""0.000012""","="""""
"=""1s.5p""","=""1P*""","=""1""","="" 73.477364""","=""0.000012""","="""""
"=""1s.6s""","=""3S""","=""1""","="" 74.033686""","=""0.000012""","="""""
"=""1s.6s""","=""1S""","=""0""","="" 74.090543""","=""0.000012""","="""""
"=""1s.6p""","=""3P*""","=""0""","="" 74.100687""","=""0.000012""","="""""
"=""1s.6p""","=""3P*""","=""1""","="" 74.100735""","=""0.000012""","="""""
"=""1s.6p""","=""3P*""","=""2""","="" 74.100818""","=""0.000012""","="""""
"=""1s.6p""","=""1P*""","=""1""","="" 74.1222""","=""0.0012""","="""""
"=""1s.6d""","=""3D""","=""1""","="" 74.127121""","=""0.000012""","="""""
"=""1s.6d""","=""3D""","=""2""","="" 74.127169""","=""0.000012""","="""""
"=""1s.6d""","=""3D""","=""3""","="" 74.127251""","=""0.000012""","="""""
"=""1s.6d""","=""1D""","=""2""","="" 74.127985""","=""0.000012""","="""""
"=""1s.6f""","=""3F*""","=""3""","="" 74.128346""","=""0.000012""","="""""
"=""1s.6f""","=""3F*""","=""2""","="" 74.128346""","=""0.000012""","="""""
"=""1s.6f""","=""3F*""","=""4""","="" 74.128346""","=""0.000012""","="""""
"=""1s.6f""","=""1F*""","=""3""","="" 74.128476""","=""0.000012""","="""""
"=""1s.7s""","=""3S""","=""1""","="" 74.470352""","=""0.000012""","="""""
"=""1s.7s""","=""1S""","=""0""","="" 74.5058""","=""0.0012""","="""""
"=""1s.7p""","=""1P*""","=""1""","="" 74.5143""","=""0.0012""","="""""
"=""1s.7d""","=""3D""","=""1""","="" 74.528645""","=""0.000012""","="""""
"=""1s.7d""","=""3D""","=""2""","="" 74.528693""","=""0.000012""","="""""
"=""1s.7d""","=""3D""","=""3""","="" 74.528775""","=""0.000012""","="""""
"=""1s.7d""","=""1D""","=""2""","="" 74.529260""","=""0.000012""","="""""
"=""1s.7f""","=""3F*""","=""2""","="" 74.52943""","=""0.00012""","="""""
"=""1s.7f""","=""3F*""","=""4""","="" 74.52943""","=""0.00012""","="""""
"=""1s.7f""","=""3F*""","=""3""","="" 74.52943""","=""0.00012""","="""""
"=""1s.7f""","=""1F*""","=""3""","="" 74.529574""","=""0.000012""","="""""
"=""1s.8s""","=""3S""","=""1""","="" 74.750443""","=""0.000012""","="""""
"=""1s.8d""","=""3D""","=""1""","="" 74.789230""","=""0.000012""","="""""
"=""1s.8d""","=""3D""","=""2""","="" 74.789278""","=""0.000012""","="""""
"=""1s.8d""","=""3D""","=""3""","="" 74.789360""","=""0.000012""","="""""
"=""1s.8d""","=""1D""","=""2""","="" 74.789686""","=""0.000012""","="""""
"=""1s.8f""","=""3F*""","=""2""","="" 74.78975""","=""0.00012""","="""""
"=""1s.8f""","=""3F*""","=""4""","="" 74.78975""","=""0.00012""","="""""
"=""1s.8f""","=""3F*""","=""3""","="" 74.78975""","=""0.00012""","="""""
"=""1s.8f""","=""1F*""","=""3""","="" 74.789898""","=""0.000012""","="""""
"=""1s.9f""","=""3F*""","=""2""","="" 74.968230""","=""0.000012""","="""""
"=""1s.9f""","=""3F*""","=""4""","="" 74.968230""","=""0.000012""","="""""
"=""1s.9f""","=""3F*""","=""3""","="" 74.968230""","=""0.000012""","="""""
"=""1s.9f""","=""1F*""","=""3""","="" 74.968372""","=""0.000012""","="""""
"=""1s.10f""","=""3F*""","=""2""","="" 75.09591""","=""0.00012""","="""""
"=""1s.10f""","=""3F*""","=""4""","="" 75.09591""","=""0.00012""","="""""
"=""1s.10f""","=""3F*""","=""3""","="" 75.09591""","=""0.00012""","="""""
"=""1s.10f""","=""1F*""","=""3""","="" 75.09605""","=""0.00012""","="""""
"=""Li III (1s 2S<1/2>)""","=""Limit""","=""---""","=""[75.6400970]""","=""0.0000012""","=""L10054"""
"=""2p2""","=""3P""","=""0""","="" 149.5""","=""1.2""","="""""
"=""2p2""","=""3P""","=""2""","="" 149.5""","=""1.2""","="""""
"=""2p2""","=""3P""","=""1""","="" 149.5""","=""1.2""","="""""
"=""2s.2p""","=""1P*""","=""1""","="" 150.289""","=""0.012""","="""""
"=""2s.2p""","=""3P*""","=""1""","="" 150.289""","=""0.012""","="""""
"=""2p.3p""","=""3D""","=""2""","="" 160.09""","=""0.12""","="""""
"=""2p.3p""","=""3D""","=""1""","="" 160.09""","=""0.12""","="""""
"=""2p.3p""","=""3D""","=""3""","="" 160.09""","=""0.12""","="""""
"=""2p.3p""","=""3P""","=""0""","="" 160.14""","=""0.12""","="""""
"=""2p.3p""","=""3P""","=""1""","="" 160.14""","=""0.12""","="""""
"=""2p.3p""","=""3P""","=""2""","="" 160.14""","=""0.12""","="""""
"=""2p.3d""","=""3D*""","=""2""","="" 160.41""","=""0.12""","="""""
"=""2p.3d""","=""3D*""","=""1""","="" 160.41""","=""0.12""","="""""
"=""2p.3d""","=""3D*""","=""3""","="" 160.41""","=""0.12""","="""""
"=""2p.3d""","=""1D*""","=""2""","="" 160.42""","=""0.12""","="""""
"=""2p.3p""","=""1D""","=""2""","="" 160.49""","=""0.12""","="""""
"=""2p.3p""","=""1P""","=""1""","="" 160.50""","=""0.12""","="""""
"=""2s.3p""","=""3P*""","=""1""","="" 161.058""","=""0.012""","="""""
"=""2s.3p""","=""1P*""","=""1""","="" 161.058""","=""0.012""","="""""
"=""2s.4p""","=""3P*""","=""1""","="" 163.908""","=""0.012""","="""""
"=""2s.4p""","=""1P*""","=""1""","="" 163.908""","=""0.012""","="""""
